id,file_name,file_id,mime_type,url,
1,<template-file-list>,1MCEi9N9EVYHvbIPr8Vlf9g39aGOmAayaxDH99-wnyi8,application/vnd.google-apps.spreadsheet,https://docs.google.com/spreadsheets/d/1MCEi9N9EVYHvbIPr8Vlf9g39aGOmAayaxDH99-wnyi8/edit?usp=drivesdk,
2,enemies,1WoCY3RXeLAkF4Dfv7QBQ9hEOFbz-Svcjin1vh_HUow4,application/vnd.google-apps.spreadsheet,https://docs.google.com/spreadsheets/d/1WoCY3RXeLAkF4Dfv7QBQ9hEOFbz-Svcjin1vh_HUow4/edit?usp=drivesdk,
3,heroes,1Glihy1nDn-fity8NxCLbS6EglrrXSR5XE2R_FXmipyg,application/vnd.google-apps.spreadsheet,https://docs.google.com/spreadsheets/d/1Glihy1nDn-fity8NxCLbS6EglrrXSR5XE2R_FXmipyg/edit?usp=drivesdk,
